Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
Metcash,2014,11823,Australia,Food & Staples Retailing,MTS AU,AU000000MTS0,8530,85527,NA,2016,94057
Micro Focus International,2014,11853,United Kingdom,Information Technology,MCRO LN,GB00BCZM1F64,173,308,NA,2015,481
MMI Holdings Ltd,2014,11860,South Africa,"Banks, Diverse Financials, Insurance",MMI SJ,ZAE000149902,1581,56542,NA,2016,58123
Metso,2014,11866,Finland,Industrials,MEO1V FH,FI0009007835,39469,109076,NA,2015,148545
Australia and New Zealand Banking Group,2014,1187,Australia,"Banks, Diverse Financials, Insurance",ANZ AU,AU000000ANZ3,22688,186844,21,2016,209553
MGM Resorts International,2014,11876,USA,Consumer Discretionary,MGM US,US5529531015,219208,736125,NA,2015,955333
Resolute Forest Products Inc.,2014,119,Canada,Materials,RFP US,US0036871004,1468217,2048022,7061902,2015,10578141
Microchip Technology,2014,11904,USA,Information Technology,MCHP US,US5950171042,170426,195903,NA,2015,366329
"Micron Technology, Inc.",2014,11905,USA,Information Technology,MU US,US5951121038,1310510,1529407,NA,2015,2839917
ams AG,2014,1193,Austria,Information Technology,AMS SW,AT0000A18XM4,14340,4875,NA,2015,19215
Microsoft Corporation,2014,11930,USA,Software & Services,MSFT US,US5949181045,90568,1637429,NA,2016,1727997
Millennium & Copthorne Hotels,2014,11944,United Kingdom,Consumer Discretionary,MLC LN,GB0005622542,59200,262918,NA,2015,322118
"Autodesk, Inc.",2014,1198,USA,Information Technology,ADSK US,US0527691069,2331,1462,NA,2015,3793
"Automatic Data Processing, Inc.",2014,1203,USA,Information Technology,ADP US,US0530151036,12593,112226,NA,2015,124819
Millicom International Cellular SA,2014,12031,Sweden,Telecommunication Services,MIC SS,SE0001174970,68072,111697,NA,2015,179769
Mirvac Group,2014,12095,Australia,Real Estate,MGR AU,AU000000MGR9,9867,67511,NA,2016,77378
"Mitsubishi Heavy Industries, Ltd.",2014,12099,Japan,Industrials,7011 JP,JP3900000005,234900,655900,NA,2015,890800
MITIE Group,2014,12117,United Kingdom,Industrials,MTO LN,GB0004657408,41090,2938,NA,2015,44028
Mitsubishi Materials Corporation,2014,12120,Japan,Materials,5711 JP,JP3903000002,11005060,1816968,90353,2015,12912381
Mitac International,2014,12128,Taiwan,Information Technology,NA,TW0002315009,2290,40382,NA,2015,42672
Mitsubishi Chemical Holdings Corporation,2014,12141,Japan,Materials,4188 JP,JP3897700005,9209000,2117000,37500,2015,11363500
Mitsubishi Electric Corporation,2014,12144,Japan,Industrials,6503 JP,JP3902400005,398000,838000,NA,2015,1236000
AvalonBay Communities,2014,1219,USA,Financials,AVB US,US0534841012,52219,71298,NA,2015,123517
Aveng Ltd,2014,1224,South Africa,Construction & Engineering,AEG SJ,ZAE000111829,184626,62670,NA,2016,247296
Mitsubishi Motors Corporation,2014,12263,Japan,Automobiles & Components,7211 JP,JP3899800001,137245,361552,NA,2017,498797
Avery Dennison Corporation,2014,1227,USA,Materials,AVY US,US0536111091,145371,306663,NA,2015,452034
"Mitsubishi UFJ Financial Group, Inc.",2014,12271,Japan,"Banks, Diverse Financials, Insurance",8306 JP,JP3902900004,15421,256028,NA,2016,271449
Aveva Group,2014,1228,United Kingdom,Information Technology,AVV LN,GB00BBG9VN75,859,1424,NA,2015,2283
"Mizuho Financial Group, Inc.",2014,12291,Japan,Financials,8411 JP,JP3885780001,15735,227989,NA,2015,243724
Mitsui O.S.K. Lines Ltd,2014,12303,Japan,Industrials,9104 JP,JP3362700001,18803129,61939,NA,2015,18865068
Monsanto Company,2014,12330,USA,Materials,MON US,US61166W1018,1570000,1080000,112000,2015,2762000
Mobimo,2014,12340,Switzerland,Financials,MOBN SW,CH0011108872,10387,2866,NA,2015,13253
MOL Nyrt.,2014,12343,Hungary,Energy,MOL HB,HU0000068952,5810552,1236859,NA,2015,7047411
Molson Coors Brewing Company,2014,12348,USA,Consumer Staples,TAP US,US60871R2094,194700,119047,13403,2015,327150
Modern Times Group MTG AB,2014,12354,Sweden,Consumer Discretionary,MTGA SS,SE0000412363,1644,5817,NA,2015,7461
Arnoldo Mondadori Editore SpA,2014,12356,Italy,Consumer Discretionary,MN IM,IT0001469383,1193,11285,NA,2015,12478
Molex Incorporated,2014,12363,USA,Information Technology,NA,US6085541018,15297,298120,NA,2015,313417
Mondi PLC,2014,12368,United Kingdom,Materials,MNDI LN,GB00B1CRLC47,4401720,927692,11342988,2015,16672400
Morrison Supermarkets,2014,12376,United Kingdom,Consumer Staples,MRW LN,GB0006043169,362073,695756,NA,2015,1057829
Moody's Corporation,2014,12379,USA,Financials,MCO US,US6153691059,NA,NA,NA,2015,0
The Mosaic Company,2014,12382,USA,Materials,MOS US,US61945C1036,2901368,1819730,NA,2015,4721098
Morgan Advanced Materials,2014,12389,United Kingdom,Industrials,MGAM LN,GB0006027295,153100,247100,27900,2015,428100
Morgan Sindall Group plc,2014,12392,United Kingdom,Industrials,MGNS LN,GB0008085614,25244,9168,NA,2015,34412
Morgan Stanley,2014,12406,USA,Financials,MS US,US6174464486,31300,296000,NA,2015,327300
MorphoSys AG,2014,12425,Germany,Health Care,MOR GR,DE0006632003,NA,NA,NA,2015,0
MTN Group,2014,12546,South Africa,Telecommunication Services,MTN SJ,ZAE000042164,793098,595177,NA,2015,1388275
MTR Corporation,2014,12552,Hong Kong,Industrials,66 HK,HK0066009694,58342,1354625,NA,2015,1412967
MTU Aero Engines Holding AG,2014,12592,Germany,Aerospace & Defense,MTX GR,DE000A0D9PT0,27439,48426,NA,2016,75865
Murata Mfg. Co.,2014,12610,Japan,Information Technology,6981 JP,JP3914400001,119400,904300,NA,2015,1023700
Murray & Roberts Holdings Limited,2014,12622,South Africa,Construction & Engineering,MUR SJ,ZAE000073441,54249,19691,NA,2016,73940
"Nankai Electric Railway Co., Ltd.",2014,12631,Japan,Industrials,9044 JP,JP3653000004,14013,162256,NA,2015,176269
Nampak Ltd,2014,12656,South Africa,Containers & Packaging,NPK SJ,ZAE000071676,124174,384818,NA,2016,508992
Namco Bandai Holdings Inc.,2014,12669,Japan,Consumer Discretionary,7832 JP,JP3778630008,0,89005,NA,2015,89005
Aviva,2014,1268,United Kingdom,Financials,AV/ LN,GB0002162385,20031,46231,NA,2015,66262
"Avon Products, Inc.",2014,1271,USA,Consumer Staples,AVP US,US0543031027,58034,75533,NA,2015,133567
"NASDAQ OMX Group, Inc.",2014,12768,USA,Financials,NDAQ US,US6311031081,0,18059,NA,2015,18059
National Bank Of Greece,2014,12781,Greece,Financials,ETE GA,GRS003003019,1653,70366,NA,2015,72019
Nanya Technology Corp,2014,12782,Taiwan,Information Technology,2408 TT,TW0002408002,44758,208191,0,2015,252949
National Australia Bank,2014,12798,Australia,"Banks, Diverse Financials, Insurance",NAB AU,AU000000NAB4,23052,162029,NA,2016,185081
National Bank of Canada,2014,12799,Canada,Financials,NA CN,CA6330671034,2729,3705,8,2015,6442
National Express Group Plc,2014,12828,United Kingdom,Industrials,NEX LN,GB0006215205,750015,67186,NA,2015,817201
National Grid,2014,12832,United Kingdom,Utilities,NG/ LN,GB00B08SNH34,7019012,4273819,NA,2015,11292831
NCC,2014,12850,Sweden,Industrials,NCCA SS,SE0000118952,221370,25758,306,2015,247434
Natura Cosmeticos SA,2014,12860,Brazil,Consumer Staples,NATU3 BZ,BRNATUACNOR6,1635,8371,17746,2015,27752
AXA Group,2014,1287,France,Financials,CS FP,FR0000120628,46635,111440,NA,2015,158075
Natixis SA,2014,12874,France,Financials,KN FP,FR0000120685,2611,3545,NA,2015,6156
Navistar International Corporation,2014,12893,USA,Industrials,NAV US,US63934E1082,131762,300508,NA,2015,432270
Axel Springer SE,2014,1290,Germany,Consumer Discretionary,SPR GR,DE0005501357,1474,38511,NA,2015,39985
NEC Corporation,2014,12903,Japan,Information Technology,6701 JP,JP3733000008,58000,337000,NA,2015,395000
Renesas Electronics Corporation,2014,12913,Japan,Information Technology,6723 JT,JP3164720009,309000,1218000,NA,2015,1527000
Nedbank Limited,2014,12915,South Africa,Financials,NED SJ,ZAE000004875,379,155507,NA,2015,155886
Neste Corporation,2014,12937,Finland,Energy,NESTE FH,FI0009013296,3166700,418900,NA,2015,3585600
Nestlé,2014,12942,Switzerland,Consumer Staples,NESN VX,CH0038863350,3814214,3800029,844944,2015,8459187
Netcare Limited,2014,13019,South Africa,Health Care,NTC SJ,ZAE000011953,43099,241517,NA,2015,284616
NetApp Inc.,2014,13024,USA,Information Technology,NTAP US,US64110D1046,5964,127992,NA,2015,133956
Clicks Group Ltd,2014,13060,South Africa,Consumer Staples,CLS SJ,ZAE000134854,2284,98149,NA,2015,100433
Nexans,2014,13097,France,Industrials,NEX FP,FR0000044448,247084,249107,NA,2015,496191
Newcrest Mining,2014,13115,Australia,Mining - Other  (Precious Metals and Gems),NCM AU,AU000000NCM7,1547985,841898,NA,2016,2389883
Newmont Mining Corporation,2014,13117,USA,Materials,NEM US,US6516391066,4110000,120000,NA,2015,4230000
Newell Rubbermaid Inc.,2014,13121,USA,Consumer Discretionary,NWL US,US6512291062,21799,263004,NA,2015,284803
Twenty-First Century Fox,2014,13126,USA,Media,FOX US,US90130A2006,45368,129157,1007,2016,175532
New Zealand Oil & Gas,2014,13132,New Zealand,Energy,NZO NZ,NZNOGE0001S6,36033,0,NA,2015,36033
Axfood,2014,1315,Sweden,Consumer Staples,AXFO SS,SE0000635401,13669,25514,NA,2015,39183
"NGK Spark Plug Co., Ltd.",2014,13159,Japan,Consumer Discretionary,5334 JP,JP3738600000,66698,218758,NA,2015,285456
NH Hotel Group,2014,13161,Spain,Consumer Discretionary,NHH SM,ES0161560018,71016,23769,NA,2015,94785
Nexity,2014,13167,France,Financials,NXI FP,FR0010112524,3352,1223,NA,2015,4575
B2W Companhia Global do Varejo,2014,1318,Brazil,Consumer Discretionary,BTOW3 BZ,BRBTOWACNOR8,40308,2341,NA,2015,42649
Axis Bank,2014,1321,India,Financials,AXSB IN,INE238A01034,9759,124882,NA,2015,134641
Balfour Beatty,2014,1323,United Kingdom,Industrials,BBY LN,GB0000961622,295219,120126,NA,2015,415345
Niko Resources Ltd.,2014,13265,Canada,Energy,NKO CN,CA6539051095,13513,2052,NA,2015,15565
Nikon Corporation,2014,13267,Japan,Consumer Discretionary,7731 JP,JP3657400002,23731,159787,NA,2015,183518
