Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
"Citizen Holdings Co., Ltd.",2015,3402,Japan,Technology Hardware & Equipment,7762 JP,JP3352400000,20098,162857,NA,2016,182955
Ming Fai International Holdings Limited,2015,34024,China,Chemicals,NA,NA,1348,20596,NA,2016,21944
City Developments Limited,2015,3420,Singapore,Real Estate,CIT SP,SG1R89002252,6557,23734,NA,2016,30291
Agility Public Warehousing Co K.S.C.,2015,34266,Switzerland,Air Freight transportation and Logistics,AGLTY UH,KW0EQ0601041,82702,94952,NA,2017,177654
CREE INC.,2015,34285,USA,Semiconductors & Semiconductors Equipment,CREE US,US2254471012,149421,176464,NA,2016,325885
CJ Cheiljedang,2015,3435,South Korea,Food & Beverage Processing,097950 KS,KR7097950000,305905,163421,7658,2016,476984
"Mori Building Co, Ltd.",2015,34468,Japan,Real Estate,MBDZ JP,NA,9081,123987,NA,2016,133068
Clariant AG,2015,3448,Switzerland,Chemicals,CLN VX,CH0012142631,402283,449008,76607,2016,927898
Clas Ohlson AB,2015,3450,Sweden,Retailing,CLASB SS,SE0000584948,1,3484,NA,2016,3485
Basil Read,2015,34609,South Africa,Construction & Engineering,BSR SJ,ZAE000029781,82375,3117,NA,2016,85492
AES Tiete SA,2015,348,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",GETI4 BS,BRGETIACNPR4,299,1260,NA,2016,1559
Agnico-Eagle Mines Limited,2015,350,Canada,Mining - Other  (Precious Metals and Gems),AEM CN,CA0084741085,412780,71095,NA,2016,483875
CLP Holdings Limited,2015,3503,Hong Kong,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",2 HK,HK0002007356,46456000,267000,NA,2016,46723000
Clorox Company,2015,3507,USA,"Consumer Durables, Household and Personal Products",CLX US,US1890541097,74409,224412,1014354,2016,1313175
Close Brothers Group,2015,3508,United Kingdom,"Banks, Diverse Financials, Insurance",CBG LN,GB0007668071,2842,4079,NA,2016,6921
Club Mediterranee,2015,3514,France,"Hotels, Restaurants & Leisure, and Tourism Services",CU FP,FR0000121568,52864,95479,NA,2016,148343
Ecofrotas,2015,35211,Brazil,Ground Transportation - Trucking  Transportation,NOT FOUND,NA,301,234,801,2016,1336
PostNL,2015,35221,Netherlands,Air Freight transportation and Logistics,PNL NA,NL0009739416,42000,40000,NA,2016,82000
BRİSA BRIDGESTONE SABANCI LASTİK SAN.VE TİC.A.Ş,2015,35223,Turkey,Tires,BRISA TI,TRABRISA91E3,9144,114522,NA,2016,123666
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,2015,35233,Turkey,Construction Materials,AKCNS TI,TRAAKCNS91F3,5974717,269197,58566,2016,6302480
Cobham,2015,3525,United Kingdom,Aerospace & Defense,COB LN,GB00B07KD360,100223,56681,NA,2016,156904
"DAEDUCK ELECTRONICS CO., LTD.",2015,35255,South Korea,Technology Hardware & Equipment,008060 KS,KR7008060006,3083,NA,NA,2016,3083
Pericom Semiconductor Corp.,2015,35286,USA,Semiconductors & Semiconductors Equipment,PSEM US,US7138311052,630,84,NA,2016,714
Coats Group Plc,2015,35293,United Kingdom,"Textiles, Apparel, Footwear and Luxury Goods",COA LN,NA,74561,244545,NA,2016,319106
"Davies Office Refurbising, Inc.",2015,35313,USA,Trading Companies & Distributors and Commercial Services & Supplies,0118333D US,NA,913,233,NA,2016,1146
Kimball Office,2015,35322,USA,Trading Companies & Distributors and Commercial Services & Supplies,9243917Z US,NA,5447,19589,10907,2017,35943
National Office Furniture,2015,35323,USA,Trading Companies & Distributors and Commercial Services & Supplies,0003712D US,NA,3890,18980,NA,2017,22870
Sugal,2015,35329,Portugal,Food & Beverage Processing,4764601ZPL,NA,60575,11013,NA,2017,71588
Glencore plc,2015,35349,Switzerland,"Mining - Iron, Aluminum, Other Metals",GLEN LN,JE00B4T3BW64,23398294,14193440,1307038,2016,38898772
Raizen,2015,35374,Brazil,Mining - Coal,38263Z BZ,NA,1205254,16506,17045632,2016,18267392
CMS Energy Corporation,2015,3538,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CMS US,US1258961002,18146077,42001,NA,2016,18188078
CNP Assurances,2015,3545,France,"Banks, Diverse Financials, Insurance",CNP FP,FR0000120222,2673,2246,NA,2016,4919
Formosa Plastics Corp,2015,35462,Taiwan,Chemicals,1301 TT,TW0001301000,4322415,4713153,NA,2017,9035568
Gestamp,2015,35495,Spain,Automobiles & Components,495294Z SM,NA,114235,399417,NA,2016,513652
Eletropaulo Metropolitana Eletricidade de São Paulo S/A,2015,35501,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",ELPL4 BZ,BRELPLACNPR6,6156,569420,NA,2016,575576
Colgate Palmolive Company,2015,3551,USA,"Consumer Durables, Household and Personal Products",CL US,US1941621039,214015,429551,NA,2016,643566
Colbun SA,2015,3563,Chile,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",COLBUN CI,CLP3615W1037,3429641,7839,NA,2016,3437480
The Coca-Cola Company,2015,3564,USA,Food & Beverage Processing,KO US,US1912161007,1366079,897699,NA,2016,2263778
Coca-Cola European Partners,2015,3565,United Kingdom,Food & Beverage Processing,CCE US,US19122T1097,102542,70072,4836,2016,177450
Spire Healthcare,2015,35739,United Kingdom,"Healthcare Providers & Services, and Healthcare Technology",SPI LN,NA,19414,23895,NA,2016,43309
Bernhardt Design a Division of Bernhardt Furniture Company,2015,35761,USA,"Consumer Durables, Household and Personal Products",0659147D SW,NA,4485,3837,NA,2016,8322
Actiontec Electronics,2015,35762,USA,Technology Hardware & Equipment,7580836Z US,NA,0,453,NA,2016,453
Allseating Corporation,2015,35769,Canada,Trading Companies & Distributors and Commercial Services & Supplies,5096402ZCN,NA,118,119,NA,2016,237
Infraserv GmbH & Co. Höchst KG,2015,35787,Germany,Trading Companies & Distributors and Commercial Services & Supplies,NA,NA,1167388,93906,24282,2016,1285576
"Krueger International, Inc",2015,35790,USA,Trading Companies & Distributors and Commercial Services & Supplies,3639879Z US,NA,9090,13716,NA,2016,22806
bpost,2015,35801,Belgium,Air Freight transportation and Logistics,BPOST BB,BE0974268972,70558,13407,NA,2016,83965
Inscape Corporation,2015,35814,Canada,Trading Companies & Distributors and Commercial Services & Supplies,INQ CN,CA45769T1021,3094,518,NA,2016,3612
Cogeco Communications Inc.,2015,3583,Canada,Media,CCA CN,CA19238V1058,10424,49208,NA,2016,59632
Cognizant Technology Solutions Corp.,2015,3588,USA,Software & Services,CTSH US,US1924461023,30121,245108,NA,2016,275229
Cal Development,2015,35964,USA,Construction & Engineering,0377688D US,NA,NA,NA,NA,2016,0
Commerzbank AG,2015,3599,Germany,"Banks, Diverse Financials, Insurance",CBK GR,DE000CBK1001,40081,128639,NA,2016,168720
Coloplast A/S,2015,3616,Denmark,"Healthcare Providers & Services, and Healthcare Technology",COLOB DC,DK0060448595,8446,34502,NA,2016,42948
Godrej Interio Division-Godrej & Boyce Mfg.Co.Ltd.,2015,36162,India,Building Products,1436Z IN,NA,4992,9388,1154,2016,15534
Sofidel S.p.A.,2015,36186,Italy,"Consumer Durables, Household and Personal Products",2304570Z IM,NA,444393,306626,NA,2016,751019
AFLAC Incorporated,2015,362,USA,"Banks, Diverse Financials, Insurance",AFL US,US0010551028,3149,16806,NA,2016,19955
Colt Technology Services,2015,3625,United Kingdom,Telecommunication Services,COLT LN,LU0253815640,1507,170069,NA,2016,171576
Comerica Incorporated,2015,3640,USA,"Banks, Diverse Financials, Insurance",CMA US,US2003401070,7638,60965,NA,2016,68603
Companhia de Concessões Rodoviárias - CCR,2015,3642,Brazil,Ground Transportation - Highways & Railtracks,CCRO3 BZ,BRCCROACNOR2,55621,16085,6375,2016,78081
Companhia de Eletricidade do Estado da Bahia COELBA,2015,3643,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CEEB3 BZ,BRCEEBACNOR3,NA,NA,NA,2016,0
Compal Electronics,2015,3652,Taiwan,Technology Hardware & Equipment,2324 TT,TW0002324001,17436,202368,NA,2016,219804
"CommScope, Inc.",2015,3654,USA,Technology Hardware & Equipment,COMM US,US20337X1090,114602,92610,NA,2016,207212
Bankia,2015,36595,Spain,"Banks, Diverse Financials, Insurance",BKIA SM,ES0113307021,3632,39018,NA,2016,42650
Edwards Lifesciences Corp,2015,36602,USA,"Healthcare Providers & Services, and Healthcare Technology",EW US,US28176E1082,7578,29712,NA,2016,37290
Daetwyler Holding AG,2015,36686,Switzerland,Technology Hardware & Equipment,DAE SW,CH0030486770,8660,72875,1714,2016,83249
Dia,2015,36702,Spain,Food & Staples Retailing,DIA SM,ES0126775032,648655,302401,NA,2016,951056
"International Consolidated Airlines Group, S.A.",2015,36707,Spain,Air Transportation - Airlines,IAG LN,ES0177542018,26404149,122469,NA,2016,26526618
Xylem Inc,2015,36718,USA,Electrical Equipment and Machinery,XYL US,US98419M1009,37304,40819,NA,2016,78123
Compagnie Financière Richemont SA,2015,3672,Switzerland,"Textiles, Apparel, Footwear and Luxury Goods",CFR VX,CH0210483332,13604,57300,NA,2016,70904
BNK Financial Group Inc.,2015,36773,South Korea,"Banks, Diverse Financials, Insurance",138930 KS,KR7138930003,19620,27001,NA,2016,46621
Addtech AB,2015,36842,Sweden,Trading Companies & Distributors and Commercial Services & Supplies,ADDTB SS,SE0005568136,10112,20178,NA,2017,30290
Gjensidige Forsikring ASA,2015,36845,Norway,"Banks, Diverse Financials, Insurance",GJF NO,NO0010582521,785,1794,NA,2016,2579
Det Norske Oljeselskap ASA,2015,36847,Norway,Oil & Gas,DETNOR NO,NO0010345853,255520,0,NA,2016,255520
"VMware, Inc",2015,36917,USA,Software & Services,VMW US,US9285634021,4878,71230,NA,2016,76108
Compass,2015,3692,United Kingdom,"Hotels, Restaurants & Leisure, and Tourism Services",CPG LN,GB00BLNN3L44,118360,11672,NA,2016,130032
DGB Financial Group,2015,36933,South Korea,"Banks, Diverse Financials, Insurance",139130 KS,KR7139130009,2770,15361,NA,2016,18131
OPHIR ENERGY PLC,2015,37009,United Kingdom,Oil & Gas,OPHR LN,GB00B24CT194,82496,508,NA,2016,83004
Huatai Securities,2015,37067,China,"Banks, Diverse Financials, Insurance",601688 CH,CNE100000LQ8,NA,NA,NA,2016,0
PTT Global Chemical,2015,37091,Thailand,Chemicals,PTTGC TB,TH1074010006,5334185,6439,NA,2016,5340624
BanColombia SA,2015,37110,Colombia,"Banks, Diverse Financials, Insurance",BCOLO CB,COB07PA00078,534,21641,NA,2016,22175
OMNIA HOLDINGS LTD,2015,37113,South Africa,Chemicals,OMN SJ,ZAE000005153,42766,78464,NA,2016,121230
Van Lanschot NV,2015,37134,Netherlands,"Banks, Diverse Financials, Insurance",LANS NA,NL0000302636,3557,191,NA,2016,3748
Ebro Foods SA,2015,37147,Spain,Food & Beverage Processing,EBRO SM,ES0112501012,139450,102216,NA,2016,241666
Calsonic Kansei Corporation,2015,37169,Japan,Automobiles & Components,7248 JP,JP3220400000,34752,172789,NA,2016,207541
Saracen Mineral Holdings,2015,37230,Australia,Mining - Other (Precious Metals and Gems),SAR AU,AU000000SAR9,87451,60,NA,2017,87511
Raia Drogasil SA,2015,37237,Brazil,Food & Staples Retailing,RADL3 BZ,BRRADLACNOR0,NA,NA,NA,2016,0
BioGaia AB,2015,37283,Sweden,"Pharmaceuticals, Biotechnology & Life Sciences",BIOGB SS,SE0000470395,6,95,NA,2016,101
"Sumitomo Mitsui Trust Holdings, Inc.",2015,37310,Japan,"Banks, Diverse Financials, Insurance",8309 JP,JP3892100003,5002,38813,NA,2016,43815
SCSK Corporation,2015,37360,Japan,Software & Services,9719 JP,JP3400400002,157,45454,NA,2016,45611
Anritsu Corporation,2015,37363,Japan,Technology Hardware & Equipment,6754 JP,JP3128800004,1498,15030,NA,2016,16528
Korea East-West Power,2015,37382,South Korea,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",KEWSPO KS,NA,37837150,113627,NA,2016,37950777
Evonik Industries AG,2015,37400,Germany,Chemicals,EVKIF US,DE000EVNK013,5593190,3155763,NA,2016,8748953
Banco Davivienda SA,2015,37464,Colombia,"Banks, Diverse Financials, Insurance",PFDAVVND CB,COB51PA00076,5019,8624,NA,2016,13643
Cementos Argos SA,2015,37469,Colombia,Construction Materials,CEMARGOS CB,COD38PA00046,7839336,336482,NA,2016,8175818
Empresa de Energia de Bogota S.A. E.S.P.,2015,37478,Colombia,Gas Utilities,EEB CB,COE01PA00026,2692,146,NA,2016,2838
Grupo de Inversiones Suramericana SA,2015,37482,Colombia,"Banks, Diverse Financials, Insurance",GRUPOSUR CB,COT13PA00086,1558,9815,NA,2016,11373
Grupo Nutresa S.A.,2015,37483,Colombia,Food & Beverage Processing,NUTRESA CB,COT04PA00028,91274,53904,61466,2016,206644
ConocoPhillips,2015,3751,USA,Oil & Gas,COP US,US20825C1045,24444992,1305008,NA,2016,25750000
"Ecova, Inc.",2015,37523,USA,Professional Services,0026949D US,NA,90,2125,NA,2016,2215
Emmi AG,2015,37535,Switzerland,Food & Beverage Processing,EMMN SW,CH0012829898,88436,55770,NA,2017,144206
Krug Inc.,2015,37645,Canada,"Consumer Durables, Household and Personal Products",6883997Z CN,NA,875,1045,NA,2016,1920
CONSOL Energy Inc.,2015,3768,USA,Mining - Coal,CNX US,US20854P1093,6823211,1156476,NA,2016,7979687
Bernhardt Residential a Division of Bernhardt Furniture Company,2015,37734,USA,Retailing,0000931D US,NA,5561,4899,NA,2016,10460
Trans-Expedite Inc.,2015,37764,USA,Air Freight transportation and Logistics,0128296D US,NA,4331,55,NA,2016,4386
Toyoda Gosei,2015,37874,Japan,Automobiles & Components,7282 JP,JP3634200004,129839,293183,NA,2016,423022
JSP,2015,37906,Japan,Chemicals,7942 JP,JP3386000008,17759,60064,NA,2016,77823
"Constellation Brands, Inc.",2015,3795,USA,Food & Beverage Processing,STZ US,US21036P1084,177290,53090,NA,2016,230380
NEWAGE INDUSTRIA E COMERCIO DE,2015,38068,Brazil,Food & Beverage Processing,NA,NA,4016,1080,NA,2016,5096
Continental AG,2015,3818,Germany,Automobiles & Components,CON GR,DE0005439004,715434,2073435,NA,2016,2788869
Ingredion Incorporated,2015,3876,USA,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",INGR US,US4571871023,3448738,1003288,528751,2016,4980777
"Cosmo Energy Holdings Co., Ltd.",2015,3889,Japan,Oil & Gas,5007 JP,JP3298600002,3910000,300000,NA,2016,4210000
Agilent Technologies Inc.,2015,391,USA,"Pharmaceuticals, Biotechnology & Life Sciences",A US,US00846U1016,7954,49644,NA,2016,57598
COSCO SHIPPING Ports Ltd,2015,3936,Hong Kong,Water Transportation -  Ports & Services,1199 HK,BMG2442N1048,NA,NA,NA,2016,0
Ajinomoto Co.Inc.,2015,394,Japan,Food & Beverage Processing,2802 JP,JP3119600009,1296732,937524,NA,2016,2234256
Costco Wholesale Corporation,2015,3944,USA,Food & Staples Retailing,COST US,US22160K1051,636727,1236737,NA,2016,1873464
Covanta Energy Corporation,2015,3989,USA,Trading Companies & Distributors and Commercial Services & Supplies,CVA US,US22282E1029,4557860,17478,8706277,2016,13281615
CPFL Energia SA,2015,4008,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CPFE3 BZ,BRCPFEACNOR0,93834,490222,5573,2016,589629
Alliance Data Systems,2015,40183,USA,Software & Services,ADS US,US0185811082,3035,35480,NA,2016,38515
Axis Capital Holdings Ltd,2015,40205,USA,"Banks, Diverse Financials, Insurance",AXS US,BMG0692U1099,NA,NA,NA,2016,0
Energen Corp.,2015,40269,USA,Oil & Gas,EGN US,US29265N1081,NA,NA,NA,2016,0
Dunkin' Brands Group,2015,40271,USA,"Hotels, Restaurants & Leisure, and Tourism Services",DNKN US,US2655041000,3881,4422,NA,2016,8303
Keurig Green Mountain,2015,40297,USA,Food & Beverage Processing,GMCR US,US49271M1009,35531,0,NA,2016,35531
"Hologic, Inc.",2015,40310,USA,"Healthcare Providers & Services, and Healthcare Technology",HOLX US,US4364401012,6084,17546,NA,2017,23630
Illumina Inc,2015,40319,USA,"Pharmaceuticals, Biotechnology & Life Sciences",ILMN US,US4523271090,NA,NA,NA,2016,0
Lam Research Corp.,2015,40327,USA,Semiconductors & Semiconductors Equipment,LRCX US,US5128071082,20823,46832,0,2016,67655
Lennox International Inc,2015,40330,USA,Building Products,LII US,US5261071071,67000,75000,33,2016,142033
Liberty Global plc,2015,40334,United Kingdom,Media,LBTYA US,GB00B8W67662,84400,516400,NA,2016,600800
Liberty Property Trust,2015,40338,USA,Real Estate,LPT US,US5311721048,14464,177118,NA,2016,191582
Macerich Co.,2015,40342,USA,Real Estate,MAC US,US5543821012,13001,73419,NA,2016,86420
ManpowerGroup,2015,40344,USA,Professional Services,MAN US,US56418H1005,19565,11741,NA,2016,31306
Credit Suisse,2015,4035,Switzerland,"Banks, Diverse Financials, Insurance",CSGN VX,CH0012138530,16643,188305,8148,2016,213096
"Regeneron Pharmaceuticals, Inc.",2015,40390,USA,"Pharmaceuticals, Biotechnology & Life Sciences",REGN US,US75886F1075,39000,16700,NA,2016,55700
"Smithfield Foods, Inc.",2015,40418,USA,Food & Beverage Processing,SFD US,US8322481081,412198,842201,21556,2016,1275955
Wabtec Corp.,2015,40465,USA,Electrical Equipment and Machinery,WAB US,US9297401088,NA,NA,NA,2016,0
Credito Valtellinese,2015,4047,Italy,"Banks, Diverse Financials, Insurance",CVAL IM,IT0000064516,3500,194,NA,2016,3694
Credit Agricole,2015,4050,France,"Banks, Diverse Financials, Insurance",ACA FP,FR0000045072,8529,36006,NA,2016,44535
Crescent Point Energy Corporation,2015,4058,Canada,Oil & Gas,CPG CN,CA22576C1014,2760044,834655,NA,2016,3594699
Crest Nicholson PLC,2015,4059,United Kingdom,Home building,CRST LN,GB00B8VZXT93,5027,2134,NA,2016,7161
Ahlstrom Corporation,2015,406,Finland,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",AHL1V FH,FI0009010391,315507,331904,71499,2016,718910
CRH Plc,2015,4072,Ireland,Construction Materials,CRH ID,IE0001827041,19691000,2167000,1106000,2016,22964000
IMA SpA,2015,40757,Italy,Electrical Equipment and Machinery,IMA IM,IT0001049623,4919,6225,NA,2016,11144
CaixaBank,2015,4081,Spain,"Banks, Diverse Financials, Insurance",CABK SM,ES0140609019,19120,2279,NA,2017,21399
Crompton Greaves,2015,4084,India,Electrical Equipment and Machinery,CRG IN,INE067A01029,68824,39873,NA,2016,108697
Crown Holdings,2015,4089,USA,Containers & Packaging,CCK US,US2283681060,383304,722261,NA,2016,1105565
Croda International,2015,4092,United Kingdom,Chemicals,CRDA LN,GB00BYZWX769,121791,62006,22420,2016,206217
Cypress Semiconductor Corporation,2015,4109,USA,Semiconductors & Semiconductors Equipment,CY US,US2328061096,104267,256323,NA,2016,360590
Cyrela Brazil Realty S.A. Empreendimentos e Participações,2015,4112,Brazil,Home building,CYRE3 BZ,BRCYREACNOR7,NA,NA,NA,2016,0
Deutsche Bahn AG,2015,41143,Germany,Ground Transportation - Railroads Transportation,NA,NA,3772323,6213408,NA,2016,9985731
CSX Corporation,2015,4120,USA,Ground Transportation - Railroads Transportation,CSX US,US1264081035,5300099,280588,NA,2016,5580687
La Poste,2015,41290,France,Ground Transportation - Trucking  Transportation,NA,NA,402310,94562,NA,2016,496872
Izzy+,2015,41338,USA,Building Products,NOT FOUND,NA,1816,3864,NA,2016,5680
CTT - Correios de Portugal SA,2015,41342,Portugal,Air Freight transportation and Logistics,CTT PL,PTCTT0AM0001,15724,393,NA,2016,16117
Cummins Inc.,2015,4136,USA,Electrical Equipment and Machinery,CMI US,US2310211063,295463,537597,50,2016,833110
EKOTEN TEKSTİL SANAYİ VE TİCARET A.Ş.,2015,41374,Turkey,"Textiles, Apparel, Footwear and Luxury Goods",EKTAB SS,NA,21097,3129,NA,2016,24226
Transnet,2015,41390,South Africa,Air Freight transportation and Logistics,4113058Z CI,NA,681016,3295208,NA,2016,3976224
Sanyo Denki America Inc,2015,41393,USA,Technology Hardware & Equipment,0200528D US,NA,90,NA,NA,2016,90
KORAIL RAILROAD Corp.,2015,41399,South Korea,Ground Transportation - Railroads Transportation,BF552989 Corp,NA,411499,1243328,NA,2016,1654827
ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,2015,41437,Turkey,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",ZOREN TI,TRAZOREN91L8,312012,832,NA,2016,312844
National Bank of Abu Dhabi,2015,41458,United Arab Emirates,"Banks, Diverse Financials, Insurance",NBAD UH,AEN000101016,935,35099,NA,2016,36034
CVS Health,2015,4151,USA,Food & Staples Retailing,CVS US,US1266501006,214156,1368598,NA,2016,1582754
ModusLink Corporation,2015,41519,USA,Technology Hardware & Equipment,MLNK US,US60786L1070,919,12249,NA,2016,13168
TXC Corporation,2015,41539,Taiwan,"Consumer Durables, Household and Personal Products",3042 TT,TW0003042008,496,16922,0,2016,17418
Chaun-Choung Technology Corp,2015,41540,Taiwan,Technology Hardware & Equipment,6230 TT,TW0006230006,837,10128,NA,2016,10965
Humanscale Corporation,2015,41697,USA,Trading Companies & Distributors and Commercial Services & Supplies,1000505D US,NA,553,400,NA,2016,953
AIS,2015,41796,USA,Trading Companies & Distributors and Commercial Services & Supplies,NA,NA,2113,2279,NA,2016,4392
Constellium,2015,41842,France,"Mining - Iron, Aluminum, Other Metals",CSTM US,NL0010489522,751600,216700,NA,2016,968300
Daewoo E&C,2015,4190,South Korea,Construction & Engineering,047040 KS,KR7047040001,11529,54981,NA,2016,66510
"MIRAE ASSET DAEWOO CO., LTD",2015,4192,South Korea,"Banks, Diverse Financials, Insurance",006800 KS,KR7006800007,578,13750,NA,2016,14328
Daewoo Shipbuilding & Marine,2015,4195,South Korea,Electrical Equipment and Machinery,042660 KS,KR7042660001,136891,244710,NA,2016,381601
Mondelez International Inc,2015,42037,USA,Food & Beverage Processing,MDLZ US,US6092071058,757010,933641,101190,2016,1791841
"Dai Nippon Printing Co., Ltd.",2015,4212,Japan,Trading Companies & Distributors and Commercial Services & Supplies,7912 JP,JP3493800001,263200,726100,NA,2016,989300
"The Dai-ichi Life Insurance Company, Limited",2015,4223,Japan,"Banks, Diverse Financials, Insurance",8750 JP,JP3476480003,14550,154177,NA,2016,168727
"Daikin Industries, Ltd.",2015,4226,Japan,Building Products,6367 JP,JP3481800005,743357,536797,NA,2016,1280154
"Daiichi Sankyo Co., Ltd.",2015,4230,Japan,"Pharmaceuticals, Biotechnology & Life Sciences",4568 JP,JP3475350009,119112,126887,182,2016,246181
Daimler AG,2015,4235,Germany,Automobiles & Components,DAI GR,DE0007100000,1060000,2208400,NA,2016,3268400
"Sumitomo Dainippon Pharma Co., Ltd.",2015,4237,Japan,"Pharmaceuticals, Biotechnology & Life Sciences",4506 JP,JP3495000006,26293,47714,NA,2016,74007
Dairy Crest Group,2015,4242,United Kingdom,Food & Beverage Processing,DCG LN,GB0002502812,79051,57256,22033,2016,158340
"Daito Trust Construction Co., Ltd.",2015,4255,Japan,Real Estate,1878 JP,JP3486800000,38097,34408,NA,2016,72505
"Daiwa House Industry Co., Ltd.",2015,4256,Japan,Real Estate,1925 JP,JP3505000004,214926,183210,NA,2016,398136
Daiwa Securities Group Inc.,2015,4268,Japan,"Banks, Diverse Financials, Insurance",8601 JP,JP3502200003,961,36033,NA,2016,36994
Air Canada,2015,427,Canada,Air Transportation - Airlines,AC CN,CA0089117034,10228216,11108,NA,2016,10239324
Air France - KLM,2015,429,France,Air Transportation - Airlines,AF FP,FR0000031122,27645814,72724,17,2016,27718555
Danone,2015,4311,France,Food & Beverage Processing,BN FP,FR0000120644,561641,915747,157522,2016,1634910
Danske Bank A/S,2015,4312,Denmark,"Banks, Diverse Financials, Insurance",DANSKE DC,DK0010274414,2441,15423,NA,2016,17864
Air Liquide,2015,432,France,Chemicals,AI FP,FR0000120073,13552000,11716000,NA,2016,25268000
Dassault Systemes,2015,4330,France,Software & Services,DSY FP,FR0000130650,4790,11810,NA,2016,16600
Darfon Electronics Corp,2015,4332,Taiwan,Technology Hardware & Equipment,8163 TT,TW0008163007,4440,86159,NA,2016,90599
"Air Products & Chemicals, Inc.",2015,435,USA,Chemicals,APD US,US0091581068,15399419,14824615,NA,2016,30224034
Deere & Company,2015,4365,USA,Electrical Equipment and Machinery,DE US,US2441991054,384476,906066,6037,2016,1296579
DCC PLC,2015,4370,Ireland,Oil & Gas,DCC LN,IE0002424939,97390,22748,NA,2016,120138
De La Rue,2015,4377,United Kingdom,Trading Companies & Distributors and Commercial Services & Supplies,DLAR LN,GB00B3DGH821,40648,36870,NA,2016,77518
Dean Foods Company,2015,4392,USA,Food & Beverage Processing,DF US,US2423702032,535338,431743,1096,2016,968177
3i Group,2015,44,United Kingdom,"Banks, Diverse Financials, Insurance",III LN,GB00B1YW4409,252,854,NA,2016,1106
Delphi Automotive Plc,2015,4407,United Kingdom,Automobiles & Components,DLPH US,JE00B783TY65,46205,577401,NA,2016,623606
Delta Air Lines,2015,4408,USA,Air Transportation - Airlines,DAL US,US2473617023,35079945,331845,NA,2016,35411790
Delta Electronics,2015,4416,Taiwan,Technology Hardware & Equipment,2308 TT,TW0002308004,21673,343094,NA,2016,364767
PVH Corp,2015,44266,USA,"Textiles, Apparel, Footwear and Luxury Goods",PVH US,US6936561009,41293,93166,NA,2016,134459
Dell Inc.,2015,4433,USA,Technology Hardware & Equipment,DELL US,US24702R1014,38690,355228,NA,2016,393918
John Laing Infrastructure Fund,2015,44405,Guernsey,"Banks, Diverse Financials, Insurance",JLIF LN,GG00B4ZWPH08,31719,100028,NA,2016,131747
Bioquell PLC,2015,44435,United Kingdom,"Healthcare Providers & Services, and Healthcare Technology",BQE LN,GB0004992003,287,491,NA,2016,778
"Oplink Communications, LLC",2015,44619,China,Technology Hardware & Equipment,OPLK US,US68375Q4038,1449,17651,NA,2016,19100
Via Seating,2015,44650,USA,Building Products,1229430D US,NA,143,176,NA,2016,319
Compatico,2015,44653,USA,Trading Companies & Distributors and Commercial Services & Supplies,4995445Z US,NA,126,41,NA,2016,167
Direct Line Insurance Group,2015,44665,United Kingdom,"Banks, Diverse Financials, Insurance",DLG LN,GB00BY9D0Y18,7643,14968,NA,2016,22611
Amtrak,2015,44672,USA,Ground Transportation - Railroads Transportation,5330Z US,NA,762524,319028,114,2016,1081666
Synthomer plc,2015,44674,United Kingdom,Chemicals,SYNT LN,GB0009887422,46164,152552,NA,2016,198716
Hongkong & Shanghai Hotels Ltd,2015,44729,Hong Kong,"Hotels, Restaurants & Leisure, and Tourism Services",45 HK,HK0045000319,22282,89143,NA,2016,111425
Partron Company,2015,44834,South Korea,Technology Hardware & Equipment,091700 KS,KR7091700005,NA,NA,NA,2016,0
AKBANK T.A.Ş.,2015,449,Turkey,"Banks, Diverse Financials, Insurance",AKBNK TI,TRAAKBNK91N6,8692,42534,NA,2016,51226
Kroton Educacional SA,2015,44986,Brazil,Education Services,KROT3 BZ,BRKROTACNOR9,NA,NA,NA,2016,0
Zhen Ding Technology Holding Ltd,2015,45020,Taiwan,Technology Hardware & Equipment,4958 TT,KYG989221000,25943,709237,NA,2017,735180
Celsia SA ESP,2015,45029,Colombia,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CELSIA CB,COT60PA00038,2858178,63059,NA,2016,2921237
