Ticker,Share of portfolio
1969,1.9356493982085797e-6
1970,4.431952046633177e-7
1972,6.142984453821893e-6
1973,1.0863762968280025e-6
1976,5.624147806517357e-7
1979,4.851035674713805e-6
198,1.3203489102642705e-6
1980,1.0258028704670036e-6
1982,5.711103097961884e-7
1983,1.0851507003919424e-6
1988,2.030225394149107e-5
1997,1.2293569297970516e-5
1999,1.70180623286697e-6
1COV,1.5676267997132272e-5
2,3.698053687054915e-5
20,8.638471213249643e-6
200,3.456654417821155e-6
20000,5.871915030793504e-7
200012,1.4769883575506854e-6
200026,1.2187939417693147e-7
200028,1.3233588007371128e-6
200055,7.689280487937239e-7
200056,4.990690820744988e-8
2001,2.948074782322869e-6
200152,7.234770549416065e-7
2002,4.3892823110620935e-5
200230,5.099824534891321e-7
2003,3.1190190774574185e-7
2004,1.7601831815916855e-6
200429,1.1975349086998533e-6
200488,1.2659910934094327e-6
2005,4.051073553891402e-6
200521,1.6966429935820872e-8
200530,1.327244690100256e-7
200539,9.637130763294723e-7
200541,5.714849903394042e-7
200550,4.1817433883613423e-7
200570,7.172824913601903e-8
200581,1.0892003345074587e-6
200596,4.4436489108701255e-6
2006,2.230935573893271e-6
200625,1.5535567091267835e-6
200670,1.888698406545111e-7
2007,3.5022547428389136e-5
200725,2.442201894836545e-6
200726,5.795917343556494e-7
200761,5.10410764849928e-7
200771,1.0220510567137432e-6
2008,1.3621505344536255e-6
200869,1.8660296847205359e-6
2009,2.4676592568733576e-6
2010,4.633340034058735e-5
2012,4.6008523518017434e-8
2013,6.3053878695975e-7
2014,6.481234218267263e-7
2015,1.495284011516956e-6
20150,9.559405389559505e-7
2016,2.7621807209220283e-7
2017,5.153878985449897e-7
2018,6.70476351802535e-6
201872,3.886656905028427e-7
2019,4.2953020445073986e-7
202,9.573395586890373e-9
2020,4.422836702138596e-5
2022,1.6462250860219613e-7
2023,1.889563603479644e-6
2024,2.8483137289532307e-6
2025,2.4565845451883054e-7
2027,6.5140343281452795e-6
2028,2.953870343807548e-7
2029,4.1995157372762416e-7
2030,1.5968020629158206e-7
2031,9.497267111899903e-7
2032,1.1968756152493194e-6
2034,1.205637272721647e-6
2035,2.5624177254065615e-7
2036,2.765461753908536e-7
2037,1.0828076283199029e-7
2038,9.471049301745338e-7
2039,1.7870183390963188e-6
2040,4.4626637182111004e-7
2041,1.877000736536902e-7
2042,3.346593160599472e-7
2043,1.0586676017571722e-7
204320,1.8362519758562005e-6
2044,1.343132598545185e-6
2045,1.0651124507358172e-7
2047,1.8748628821022378e-7
2048,1.4011575136117553e-6
2049,8.961630081863272e-6
